역명,노선명,노선개수,대합실면적,승강장면적,지하상가 개수,역내편의점 개수,화장실개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,소화기 대수,스마트도서관 개수,평균승차총승객수,평균하차총승객수,평균역이용자수
도곡,3호선,1,8874,4021,4,0,1,8,8,105,13,57,0,5466,5467,10934
독립문,3호선,1,3690,1603,,0,1,8,8,53,9,37,1,7605,7858,15463
동대입구,3호선,1,5768,2015,8,1,1,4,4,67,13,56,0,10638,11835,22474
매봉,3호선,1,3934,2547,4,0,1,4,4,24,9,41,0,11635,11203,22838
무악재,3호선,1,4442,1798,,0,1,,,18,9,39,0,4209,4157,8366
불광,3호선,2,4263,2123,8,0,1,2,2,70,9,47,1,16109,17311,33420
수서,3호선,1,5691,3334,8,0,1,12,12,156,21,58,1,18264,18178,36443
신사,3호선,1,4236,2059,14,0,1,6,6,65,68,53,0,26406,27637,54044
안국,3호선,1,8077,2361,11,0,1,10,10,12,83,61,1,26197,27143,53341
압구정,3호선,1,3506,1993,5,0,1,9,9,34,43,40,1,29761,31785,61546
약수,3호선,2,3538,1640,2,0,1,2,2,17,9,50,0,12414,12088,24503
양재,3호선,1,3587,1968,6,1,1,2,2,93,26,54,1,34304,36970,71274
연신내,3호선,2,3277,1649,4,0,1,4,4,254,25,33,1,33186,31611,64797
오금,3호선,2,11009,2730,,0,2,15,15,179,9,65,0,6224,5605,11829
옥수,3호선,1,9537,1927,3,1,2,4,4,75,9,76,1,8657,8854,17512
옥수,3호선,1,9537,1927,3,1,2,4,4,75,9,76,1,11071,11094,17512
을지로3가,3호선,2,6720,1640,4,0,1,2,2,0,,,0,10165,9850,22166
일원,3호선,1,7554,3019,4,1,1,6,6,49,9,49,0,4919,4660,20016
잠원,3호선,1,3503,1815,,0,1,,,30,9,42,0,10755,12368,9580
종로3가,3호선,3,11269,1422,8,0,1,6,6,17,,63,0,7100,7016,23123
지축,3호선,1,645,938,,0,,,,70,9,19,0,9,0,14116
충무로,3호선,2,0,3860,,0,,,,0,,17,0,2501,2555,9
학여울,3호선,1,4941,3270,,0,1,2,2,57,9,47,0,17509,16594,5056
홍제,3호선,1,7220,1876,2,0,2,,,119,18,57,1,20747,20471,34104
홍제,3호선,1,7220,1876,2,0,2,,,119,18,57,1,1414,1176,34104
길음,4호선,1,3742,2195,2,0,1,3,3,42,17,47,1,25642,28664,41218
남태령,4호선,1,4137,1949,,0,1,2,2,10,9,38,0,9347,8136,2591
노원,4호선,2,3223,2978,2,0,1,8,8,170,21,44,0,19056,19564,54306
당고개,4호선,1,,,4,0,2,4,4,125,9,38,0,18903,16585,17484
동대문,4호선,2,6110,2108,9,0,1,10,10,38,47,53,0,1533,1664,38620
동대문역사문화공원,4호선,3,9676,3056,,0,2,6,6,0,28,49,0,33993,36536,35489
동작,4호선,2,5144,5392,2,1,1,,,70,15,66,0,15047,14466,3197
명동,4호선,1,3299,2832,1,0,1,6,6,0,126,59,0,25812,25338,70530
미아,4호선,1,3702,2064,1,1,1,6,6,97,9,51,1,25477,23339,29514
미아사거리,4호선,1,4203,2583,15,0,1,2,2,0,26,48,1,6253,7318,51150
사당,4호선,2,6738,2825,20,0,3,7,7,52,26,68,0,18714,17355,48817
삼각지,4호선,2,4787,2929,,0,1,4,4,7,13,47,0,12068,21720,13571
상계,4호선,1,4141,2424,7,0,1,4,4,120,13,51,0,21575,20807,36069
서울역,4호선,2,5833,2867,,0,1,4,4,20,26,,0,32884,32806,33789
성신여대입구,4호선,1,3967,2362,6,0,1,4,4,32,42,48,0,14514,14029,42382
수유,4호선,1,3951,2373,6,1,1,4,4,440,13,47,1,19162,20542,65690
숙대입구,4호선,1,3748,2026,1,0,1,,,10,13,43,0,28207,26053,28543
신용산,4호선,1,3631,2169,9,0,1,9,9,44,13,48,0,8930,9755,39705
쌍문,4호선,1,3709,2089,,1,1,6,6,96,9,24,0,25875,27139,54260
이촌,4호선,1,3747,2128,2,0,1,4,4,136,13,42,0,18641,20150,18685
창동,4호선,1,4425,1971,2,0,1,6,6,220,9,51,0,28822,29656,53014
총신대입구,4호선,1,5589,2360,17,0,1,4,4,71,26,,1,13796,13388,38791
충무로,4호선,2,9331,2474,5,2,1,24,24,10,34,65,0,35565,35985,58478
한성대입구,4호선,1,3246,1635,,0,1,2,2,12,13,33,1,25940,27026,27185
혜화,4호선,1,3598,1898,2,0,1,4,4,13,128,41,0,17518,17018,71551
회현,4호선,1,5253,2702,3,0,1,6,6,0,46,71,0,5750,5270,52967
강동,5호선,1,15965,3019,4,1,1,12,12,207,13,69,0,6291,6498,34537
강일,5호선,1,6046,2316,,0,2,16,16,138,,69,0,5750,5487,11021
개롱,5호선,1,4560,1880,,1,1,2,2,116,9,22,1,9628,9316,12789
개화산,5호선,1,3851,2129,,1,1,,,54,9,,0,10085,9790,11238
거여,5호선,1,4188,1816,,1,1,3,3,140,9,38,1,13474,14068,18944
고덕,5호선,1,4001,2286,1,1,1,6,6,185,9,37,1,12556,11817,19876
