연번,호선,역사명,주소,준공일자,면적(제곱미터),재배작물
1,5,답십리역,서울 성동구 천호대로 지하300 B1,2019-06-05,62,버터헤드레터스 카이피라 이자트릭스 파게로 이자벨
2,7,상도역,서울 동작구 상도로 지하272 B1,2019-09-26,523,버터헤드레터스 카이피라 이자트릭스 파게로 이자벨
3,7,천왕역,서울 구로구 오리로1154 B1 청년이룸 내,2020-02-25,101,버터헤드레터스 카이피라 이자트릭스 파게로 이자벨
4,2,충정로역,서울 서대문구 서소문로 지하17 B2,2020-04-09,18,버터헤드레터스 카이피라 이자트릭스 파게로 이자벨
5,3,을지로3가역,서울 중구 을지로 지하129 B2,2020-04-09,60,버터헤드레터스 카이피라 이자트릭스 파게로 이자벨
6,3,남부터미널역,서울 서초구 서초중앙로31 지하2층,2021-12-08,1357,루꼴라 와일드루꼴라 바질 딜 타임 차빌 타라곤 세이지 이탈리안파슬리
