역명,노선명,mean,max,min,노선개수
장한평,5호선,36264,51161,10323,1
종로3가,5호선,30640,42842,14345,3
천호,5호선,37938,46473,13038,2
청구,5호선,7191,9419,2643,2
충정로,5호선,8658,12744,1675,2
하남검단산,5호선,12901,15888,6669,1
하남시청,5호선,15889,21327,6555,1
하남풍산,5호선,8711,10941,2685,1
행당,5호선,14559,18928,5531,1
화곡,5호선,52351,69005,20195,1
고려대,6호선,16706,27722,5610,1
공덕,6호선,35326,46290,9661,2
광흥창,6호선,17444,25551,4984,1
구산,6호선,13931,20747,5666,1
녹사평,6호선,10533,15151,4850,1
대흥,6호선,18120,25730,4447,1
독바위,6호선,5520,7443,2551,1
돌곶이,6호선,18719,25917,6861,1
동묘앞,6호선,17302,22427,8762,2
디지털미디어시티,6호선,28606,42137,8360,1
마포구청,6호선,26615,36306,9394,1
망원,6호선,31787,40390,12177,1
버티고개,6호선,4170,5610,1600,1
보문,6호선,14807,20363,5463,1
봉화산,6호선,16250,21229,5940,1
불광,6호선,9112,11743,3367,2
삼각지,6호선,14268,19386,4682,2
상수,6호선,21635,29258,8643,1
상월곡,6호선,12087,17955,4565,1
새절,6호선,23757,35507,9828,1
석계,6호선,24241,30724,9841,1
신내,6호선,1,3,1,1
신당,6호선,17055,22651,4402,2
안암,6호선,24417,42320,5047,1
약수,6호선,7097,9271,2417,2
역촌,6호선,7941,10962,3548,1
연신내,6호선,3,19,1,2
월곡,6호선,22651,32972,7830,1
월드컵경기장,6호선,13768,101051,4899,1
응암,6호선,33821,45685,14729,1
이태원,6호선,24629,38180,15881,1
증산,6호선,18845,27844,8329,1
창신,6호선,6227,8748,2450,1
청구,6호선,7295,9670,2570,2
태릉입구,6호선,12112,30586,4681,2
한강진,6호선,21652,41339,7542,1
합정,6호선,27095,34364,10022,2
화랑대,6호선,20506,28706,6650,1
효창공원앞,6호선,13684,19808,4269,1
가산디지털단지,7호선,75960,110590,12075,1
강남구청,7호선,31184,40878,4206,1
건대입구,7호선,27075,40044,8960,2
고속터미널,7호선,31862,41779,16971,3
공릉,7호선,23511,33898,8300,1
광명사거리,7호선,38803,47457,16251,1
군자,7호선,26016,33031,9432,2
까치울,7호선,1,1,1,1
남구로,7호선,27945,37219,11913,1
남성,7호선,21383,28092,7892,1
내방,7호선,27126,36101,5772,1
노원,7호선,45832,62879,13929,2
논현,7호선,34386,46482,6082,1
대림,7호선,18478,23274,13021,2
도봉산,7호선,19088,25954,7811,1
마들,7호선,24259,32109,10258,1
먹골,7호선,19547,26922,8068,1
면목,7호선,28270,39579,11715,1
반포,7호선,12056,15453,2778,1
보라매,7호선,13120,16767,4334,1
부평구청,7호선,1,1,1,1
사가정,7호선,31146,39663,13515,1
상도,7호선,22750,34601,6899,1
상동,7호선,1,1,1,1
상봉,7호선,33093,41882,12502,1
수락산,7호선,24091,29080,11146,1
숭실대입구,7호선,26976,45214,7827,1
신대방삼거리,7호선,27808,37725,10537,1
신중동,7호선,1,1,1,1
신풍,7호선,20837,27641,8217,1
어린이대공원,7호선,31396,50253,9046,1
온수,7호선,17822,24462,5986,1
용마산,7호선,11126,14554,5284,1
이수,7호선,31149,40653,9062,1
자양,7호선,20067,84702,8034,1
장승배기,7호선,17476,23993,6182,1
장암,7호선,3874,4981,1341,1
중계,7호선,26838,38464,9893,1
중곡,7호선,20187,27479,7647,1
중화,7호선,20134,26063,8114,1
천왕,7호선,21158,27544,7259,1
철산,7호선,41074,53274,14131,1
청담,7호선,35941,48132,6242,1
춘의,7호선,1,1,1,1
태릉입구,7호선,17088,43353,5829,2
하계,7호선,33599,44712,12092,1
학동,7호선,43164,58806,4648,1
가락시장,8호선,16298,23755,3992,2
강동구청,8호선,20107,27043,6110,1
남위례,8호선,13860,20073,3820,1
남한산성입구,8호선,24790,34433,8996,1
단대오거리,8호선,22605,33079,8402,1
모란,8호선,9075,14414,3511,1
몽촌토성,8호선,13859,23374,4010,1
문정,8호선,40188,58861,5215,1
복정,8호선,17037,23467,4429,1
산성,8호선,12168,17047,4337,1
석촌,8호선,17482,27956,5624,2
송파,8호선,17986,24952,5479,1
수진,8호선,10391,14111,3567,1
신흥,8호선,10245,14036,4187,1
암사역사공원,8호선,26239,42050,3944,1
잠실,8호선,37236,60933,17002,2
장지,8호선,31598,41194,8300,1
천호,8호선,32923,43586,10577,2
가양,9호선,41870,52887,14944,1
개화,9호선,4440,5962,1253,1
고속터미널,9호선,37198,57065,16584,3
공항시장,9호선,6138,7504,2662,1
구반포,9호선,2401,4254,375,1
국회의사당,9호선,31524,90183,3423,1
김포공항,9호선,17333,20931,13026,2
노들,9호선,8971,39254,3075,1
노량진,9호선,50288,70486,19491,1
당산,9호선,36603,62069,10948,2
동작,9호선,3744,39454,1851,2
둔촌오륜,9호선,2509,5181,495,1
등촌,9호선,22625,32713,6945,1
마곡나루,9호선,25898,37605,7130,1
봉은사,9호선,41921,62566,14766,1
사평,9호선,7518,10676,2182,1
삼성중앙,9호선,14390,20580,2435,1
삼전,9호선,14790,20431,4845,1
샛강,9호선,12275,46658,2306,1
석촌,9호선,17630,25890,5831,2
석촌고분,9호선,13614,19081,4329,1
선유도,9호선,15823,22330,3693,1
선정릉,9호선,18889,26328,3185,1
송파나루,9호선,11433,15137,3406,1
신논현,9호선,60502,83166,15423,1
신목동,9호선,7942,10818,2417,1
신반포,9호선,8182,10673,2045,1
신방화,9호선,13412,17002,5116,1
양천향교,9호선,18992,25551,5758,1
언주,9호선,21640,29481,3506,1
여의도,9호선,54666,107974,6936,2
염창,9호선,33086,41894,12424,1
올림픽공원,9호선,17035,44669,4200,2
종합운동장,9호선,9845,15620,2730,2
중앙보훈병원,9호선,20851,29135,5508,1
증미,9호선,14372,20485,3537,1
한성백제,9호선,5735,14163,1628,1
흑석,9호선,18235,29833,5437,1
