역명,노선명,mean,max,min,노선개수
장한평,5호선,32986,51161,6966,1
종로3가,5호선,26339,57731,5353,3
천호,5호선,35280,50535,10130,2
청구,5호선,6902,10226,1660,2
충정로,5호선,8068,13347,1388,2
하남검단산,5호선,11510,15888,4417,1
하남시청,5호선,13432,21327,4173,1
하남풍산,5호선,7851,11407,2151,1
행당,5호선,13989,20170,3526,1
화곡,5호선,50304,71617,14123,1
고려대,6호선,15389,28019,3828,1
공덕,6호선,32285,48073,5782,2
광흥창,6호선,16076,25551,3202,1
구산,6호선,12452,20747,3402,1
녹사평,6호선,9880,31413,2750,1
대흥,6호선,15948,25730,3271,1
독바위,6호선,5270,7443,1891,1
돌곶이,6호선,16467,26606,4265,1
동묘앞,6호선,15971,26246,4938,2
디지털미디어시티,6호선,25661,42137,5476,1
마포구청,6호선,24629,36571,6834,1
망원,6호선,28029,40390,8241,1
버티고개,6호선,3970,5995,1172,1
보문,6호선,13259,20363,3624,1
봉화산,6호선,15765,23789,3883,1
불광,6호선,8601,13517,2420,2
삼각지,6호선,11721,20649,2087,2
상수,6호선,18919,32833,4289,1
상월곡,6호선,11145,17955,3032,1
새절,6호선,22881,35507,6759,1
석계,6호선,23117,33153,6513,1
신내,6호선,1,20,1,1
신당,6호선,15560,24159,2519,2
안암,6호선,21742,52526,3831,1
약수,6호선,6663,10172,1589,2
역촌,6호선,7560,10962,2266,1
연신내,6호선,2,33,1,2
월곡,6호선,21266,33192,5577,1
월드컵경기장,6호선,11423,101051,2920,1
응암,6호선,31967,45685,10078,1
이태원,6호선,23676,129821,6810,1
증산,6호선,18298,27844,5954,1
창신,6호선,5894,9072,1537,1
청구,6호선,6928,10271,1728,2
태릉입구,6호선,10983,30586,2811,2
한강진,6호선,17618,41339,3022,1
합정,6호선,25271,39133,7128,2
화랑대,6호선,19189,30555,3979,1
효창공원앞,6호선,12487,19808,2901,1
가산디지털단지,7호선,73184,110590,10135,1
강남구청,7호선,29511,41773,3518,1
건대입구,7호선,25717,47879,6329,2
고속터미널,7호선,29951,68485,7767,3
공릉,7호선,22192,42095,6535,1
광명사거리,7호선,40791,63203,13139,1
군자,7호선,24240,33075,6908,2
굴포천,7호선,15807,23869,1,1
까치울,7호선,12495,19243,1,1
남구로,7호선,28175,41009,7633,1
남성,7호선,20009,28680,5488,1
내방,7호선,25423,36309,4369,1
노원,7호선,38850,62879,9332,2
논현,7호선,34469,53438,5461,1
대림,7호선,16839,25936,5183,2
도봉산,7호선,18545,27243,5934,1
마들,7호선,22216,32109,6313,1
먹골,7호선,18603,29161,5561,1
면목,7호선,27970,41353,8609,1
반포,7호선,11067,17106,1815,1
보라매,7호선,15398,25151,4069,1
부천시청,7호선,21384,32501,1,1
부천종합운동장,7호선,7788,31724,1,1
부평구청,7호선,16994,28169,1,1
사가정,7호선,29509,39663,9671,1
삼산체육관,7호선,8502,26894,1,1
상도,7호선,20392,34601,4607,1
상동,7호선,23258,37856,1,1
상봉,7호선,30732,42864,9343,1
수락산,7호선,23590,32717,7707,1
숭실대입구,7호선,24662,46001,5589,1
신대방삼거리,7호선,28108,40744,8045,1
신중동,7호선,24260,38577,1,1
신풍,7호선,20261,27713,5828,1
어린이대공원,7호선,26600,55796,6235,1
온수,7호선,17834,28360,4185,1
용마산,7호선,10875,15090,3568,1
이수,7호선,28913,42855,6604,1
자양,7호선,17307,84702,4607,1
장승배기,7호선,17383,26545,5223,1
장암,7호선,3267,4981,794,1
중계,7호선,25461,38951,6629,1
중곡,7호선,18394,27479,5128,1
중화,7호선,19739,33655,6088,1
천왕,7호선,18999,27544,4811,1
철산,7호선,39956,63659,10214,1
청담,7호선,35647,53185,5029,1
춘의,7호선,15541,24119,1,1
태릉입구,7호선,15829,43353,4136,2
하계,7호선,32041,47880,8551,1
학동,7호선,40949,58806,3725,1
가락시장,8호선,14985,23755,2788,2
강동구청,8호선,18867,28158,4410,1
남위례,8호선,11975,20073,2058,1
남한산성입구,8호선,24023,36771,6677,1
단대오거리,8호선,19885,33079,5580,1
모란,8호선,7995,16793,2463,1
몽촌토성,8호선,11612,28117,2943,1
문정,8호선,36404,58861,4184,1
복정,8호선,17049,27712,3879,1
산성,8호선,10649,17047,3414,1
석촌,8호선,15574,29017,4101,2
송파,8호선,15696,24952,3380,1
수진,8호선,9565,14111,2951,1
신흥,8호선,9087,14036,3059,1
암사역사공원,8호선,30399,43136,3944,1
잠실,8호선,30892,60933,9003,2
장지,8호선,30940,45930,6665,1
천호,8호선,31213,48372,8928,2
가양,9호선,37586,52887,9499,1
개화,9호선,4919,15722,936,1
고속터미널,9호선,31077,57065,7417,3
공항시장,9호선,5646,7571,1883,1
구반포,9호선,3620,8457,356,1
국회의사당,9호선,28031,90183,1831,1
김포공항,9호선,18041,28579,6436,2
노들,9호선,7933,39254,2166,1
노량진,9호선,48913,77910,14126,1
당산,9호선,33517,62069,7578,2
동작,9호선,3388,39454,445,2
둔촌오륜,9호선,1937,5629,316,1
등촌,9호선,19870,32713,4721,1
마곡나루,9호선,20995,37605,4387,1
