역명,노선명,mean,max,min,노선개수,대합실면적,승강장면적,지하상가 개수,역내편의점 개수,화장실개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,소화기 대수,스마트도서관 개수
을지로입구,2호선,93661,134918,26255,1,7362.0,3046.0,13.0,1.0,1.0,6.0,6.0,42.0,50.0,51,0.0
이대,2호선,33624,51365,9134,1,4276.0,2215.0,5.0,0.0,1.0,4.0,4.0,36.0,21.0,58,0.0
잠실,2호선,155872,258925,72439,2,6284.0,4048.0,17.0,2.0,1.0,8.0,8.0,652.0,108.0,63,0.0
잠실나루,2호선,27641,37504,6782,1,2408.0,2283.0,7.0,1.0,1.0,4.0,4.0,1125.0,13.0,41,0.0
잠실새내,2호선,45880,64198,13309,1,4141.0,2562.0,2.0,1.0,1.0,11.0,11.0,0.0,21.0,72,0.0
종합운동장,2호선,26425,76759,5051,2,13442.0,5064.0,4.0,2.0,2.0,5.0,5.0,255.0,92.0,122,0.0
충정로,2호선,19414,26580,4691,2,5165.0,2398.0,2.0,0.0,1.0,4.0,4.0,22.0,15.0,51,1.0
한양대,2호선,21957,47618,2609,1,3807.0,2167.0,4.0,1.0,1.0,2.0,2.0,77.0,9.0,61,0.0
합정,2호선,66635,84934,22695,2,7263.0,4978.0,13.0,1.0,1.0,4.0,4.0,85.0,25.0,53,0.0
홍대입구,2호선,149786,217958,74752,1,5829.0,1892.0,5.0,1.0,1.0,8.0,8.0,245.0,171.0,64,0.0
가락시장,3호선,17201,23088,4419,2,12557.0,3508.0,1.0,0.0,2.0,22.0,22.0,261.0,13.0,46,0.0
경복궁,3호선,50387,83810,23347,1,8561.0,2653.0,1.0,0.0,1.0,10.0,10.0,52.0,76.0,54,1.0
경찰병원,3호선,13967,19117,3614,1,6914.0,2886.0,2.0,0.0,2.0,20.0,20.0,95.0,9.0,64,0.0
고속터미널,3호선,98210,141921,49510,3,11984.0,3799.0,39.0,0.0,,24.0,24.0,0.0,72.0,67,0.0
교대,3호선,24701,34664,3545,2,6980.0,2560.0,7.0,1.0,1.0,2.0,2.0,34.0,13.0,39,0.0
구파발,3호선,41636,56645,17624,1,3299.0,1858.0,,0.0,1.0,4.0,4.0,700.0,13.0,46,1.0
금호,3호선,14957,19440,6254,1,3284.0,1816.0,4.0,1.0,1.0,6.0,6.0,44.0,9.0,35,1.0
남부터미널,3호선,57828,80202,21069,1,6131.0,1778.0,,0.0,1.0,2.0,2.0,51.0,21.0,36,0.0
녹번,3호선,27944,37849,10372,1,3249.0,1628.0,5.0,0.0,1.0,2.0,2.0,74.0,9.0,32,1.0
대청,3호선,19753,28103,5638,1,5977.0,2623.0,1.0,0.0,1.0,4.0,4.0,166.0,9.0,36,0.0
대치,3호선,23721,29944,7978,1,3509.0,2997.0,,0.0,1.0,8.0,8.0,47.0,9.0,50,0.0
도곡,3호선,10934,15782,2028,1,8874.0,4021.0,4.0,0.0,1.0,8.0,8.0,105.0,13.0,57,0.0
독립문,3호선,15463,30644,5824,1,3690.0,1603.0,,0.0,1.0,8.0,8.0,53.0,9.0,37,1.0
동대입구,3호선,22474,41588,8057,1,5768.0,2015.0,8.0,1.0,1.0,4.0,4.0,67.0,13.0,56,0.0
매봉,3호선,22838,31664,4506,1,3934.0,2547.0,4.0,0.0,1.0,4.0,4.0,24.0,9.0,41,0.0
무악재,3호선,8366,12087,3387,1,4442.0,1798.0,,0.0,1.0,,,18.0,9.0,39,0.0
불광,3호선,33420,42467,13225,2,4263.0,2123.0,8.0,0.0,1.0,2.0,2.0,70.0,9.0,47,1.0
수서,3호선,36443,46751,16612,1,5691.0,3334.0,8.0,0.0,1.0,12.0,12.0,156.0,21.0,58,1.0
신사,3호선,54044,72108,11050,1,4236.0,2059.0,14.0,0.0,1.0,6.0,6.0,65.0,68.0,53,0.0
안국,3호선,53341,81154,23586,1,8077.0,2361.0,11.0,0.0,1.0,10.0,10.0,12.0,83.0,61,1.0
압구정,3호선,61546,82596,10283,1,3506.0,1993.0,5.0,0.0,1.0,9.0,9.0,34.0,43.0,40,1.0
약수,3호선,24503,31107,9186,2,3538.0,1640.0,2.0,0.0,1.0,2.0,2.0,17.0,9.0,50,0.0
