화장실개수,소화기 대수,역내편의점 개수,지하상가 개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,스마트도서관 개수,id
1,32,1,4,8,8,92,13,0,155
1,35,1,0,6,6,35,9,0,156
1,29,0,0,8,8,96,9,1,157
1,28,1,1,11,11,49,56,0,158
1,40,1,4,4,4,89,38,1,159
1,47,1,2,14,14,40,9,0,160
1,51,1,0,8,8,63,9,0,161
1,37,1,0,7,7,0,0,0,162
1,54,1,44,10,10,291,17,1,163
1,30,1,0,4,4,0,38,0,164
1,46,1,10,8,8,32,26,0,165
1,33,1,4,4,4,49,13,1,166
1,46,1,5,11,11,0,0,0,167
1,36,1,4,4,4,262,13,0,168
1,41,1,1,10,10,0,0,0,169
1,21,1,26,16,16,535,39,0,170
0,31,1,3,0,0,28,9,0,171
1,53,1,4,4,4,58,9,0,172
1,84,0,0,20,20,50,0,0,173
1,45,0,0,28,28,70,0,0,174
1,36,0,0,24,24,82,0,0,175
1,38,1,3,8,8,42,9,0,176
1,28,1,6,4,4,196,17,0,177
1,43,1,2,12,12,97,13,1,178
1,0,1,12,6,6,0,21,0,179
1,30,1,0,9,9,65,9,0,180
1,20,1,2,4,4,126,9,0,181
1,40,1,0,13,13,54,21,0,182
1,29,1,1,6,6,22,9,0,183
1,23,1,0,8,8,7,9,0,184
1,29,1,6,4,4,123,9,1,185
1,42,1,1,12,12,29,17,0,186
2,46,1,6,8,8,214,13,1,187
2,33,1,4,12,12,415,9,0,188
1,28,1,4,2,2,221,18,0,189
1,28,0,0,4,4,7,9,0,190
1,25,1,3,2,2,21,9,1,191
1,35,1,1,4,4,80,9,0,192
1,29,1,1,12,12,116,9,0,193
1,48,1,3,4,4,47,9,0,194
1,35,1,5,10,10,30,13,0,195
1,32,1,0,6,6,49,9,0,196
1,36,1,2,4,4,176,9,0,197
2,58,1,4,14,14,222,9,1,198
0,12,0,0,2,2,0,0,0,199
1,42,1,3,14,14,46,9,0,200
2,34,1,3,6,6,24,13,1,201
1,38,1,0,11,11,0,9,0,202
1,26,0,0,6,6,148,9,1,203
1,25,1,1,6,6,0,0,0,204
1,49,1,3,12,12,132,13,1,205
2,49,1,0,12,12,168,13,0,206
1,33,1,5,4,4,162,13,1,207
1,30,1,1,4,4,10,51,0,208
1,30,1,3,6,6,80,9,0,209
1,21,1,0,3,3,20,9,0,210
1,18,0,0,10,10,0,0,0,211
1,26,0,9,17,17,0,0,0,212
1,31,1,2,4,4,20,13,0,213
1,49,1,11,16,16,250,25,1,214
1,40,1,5,4,4,225,13,0,215
1,28,1,2,6,6,24,9,0,216
1,43,1,3,18,18,110,26,0,217
1,43,1,15,7,7,25,17,0,218
1,39,1,5,11,11,296,39,0,219
1,43,1,17,21,21,60,26,0,220
1,33,1,4,8,8,100,13,0,221
1,36,1,8,2,2,204,26,1,222
1,36,1,8,2,2,204,26,1,223
1,36,1,8,2,2,204,26,1,224
0,31,1,9,6,6,0,0,0,225
1,45,1,2,12,12,77,13,0,226
1,30,1,1,14,14,22,9,0,227
